UTC,lat,lon,species,calltype,end,site,siteGroup,gpsUncertainty
2021-08-22 14:17:35,41.11949,-124.59944,Lo,Clicks/A,2021-08-22 14:51:20,ADRIFT_001,NA,NA
2021-08-22 19:00:00,41.1255049169435,-124.595345681063,Bp,20Hz,NA,ADRIFT_001,NA,7.35229981274998
2021-08-22 19:03:57.106,41.1258377318438,-124.594869105881,Bm,B,NA,ADRIFT_001,NA,61.8295413117359
2021-08-22 19:47:50.617699,41.1290378784024,-124.589046831131,Mn,unidentified,2021-08-22 19:47:52.944425,ADRIFT_001,NA,163.695217656564
2021-08-22 19:50:25.241399,41.129192012787,-124.588677397923,Mn,unidentified,2021-08-22 19:50:26.231495,ADRIFT_001,NA,128.264269666594
2021-08-22 19:50:44.647285,41.1292113572619,-124.588631032594,Mn,unidentified,2021-08-22 19:50:45.959163,ADRIFT_001,NA,123.817550031999
2021-08-22 19:50:48.904699,41.1292156012032,-124.588620860608,Mn,unidentified,2021-08-22 19:50:49.820538,ADRIFT_001,NA,122.841994246463
2021-08-22 19:50:52.241399,41.129218927344,-124.588612888429,Mn,Song,2021-08-22 19:51:22.360202,ADRIFT_001,NA,122.077413509271
2021-08-22 19:56:05.731335,41.1295314252231,-124.587863885576,Mn,unidentified,2021-08-22 19:56:08.379843,ADRIFT_001,NA,50.2435867542649
2021-08-22 20:00:07.617477,41.1297520686717,-124.587339310443,Mn,Song,2021-08-22 20:00:31.627311,ADRIFT_001,NA,0.236923578938948
2021-08-22 20:09:41.251122,41.130070534864,-124.586613535384,Mn,unidentified,2021-08-22 20:09:42.860028,ADRIFT_001,NA,68.2676226040096
2021-08-22 20:10:02.557985,41.1300936116978,-124.586556627464,Mn,unidentified,2021-08-22 20:10:05.107483,ADRIFT_001,NA,73.6900275358614
2021-08-22 20:25:38.266,41.1308244731398,-124.58478276343,Bm,B,NA,ADRIFT_001,NA,0.656190165645008
2021-08-22 20:38:28.112344,41.1313005513176,-124.582318118932,Mn,unidentified,2021-08-22 20:38:38.186574,ADRIFT_001,NA,33.9546088093139
2021-08-22 20:39:50.547984,41.131343034597,-124.58215677286,Mn,unidentified,2021-08-22 20:39:51.463823,ADRIFT_001,NA,48.3005345393256
2021-08-22 20:42:01.958885,41.1314107573201,-124.581899570603,Mn,Song,2021-08-22 20:43:50.292131,ADRIFT_001,NA,71.1694007852846
2021-08-22 20:44:16.457227,41.1314800711586,-124.581636325493,Mn,unidentified,2021-08-22 20:44:17.694847,ADRIFT_001,NA,94.575539239106
